Object URL,Object,Date Publication,Tag,Category,published_in_Tag,Subject_Tag,depicts_Tag,publisher_Tag,author_Tag
https://www.timesofisrael.com/spanish-museum-california-family-spar-in-court-over-disputed-nazi-looted-art/,"Spanish museum, California family spar in court over disputed Nazi-looted art",2018-12-05T00:00:00Z,news article,Event,The Times of Israel,erroneous provenance (artwork),erroneous provenance (artwork),,
https://www.lootedart.com/news.php?r=VFOPAF595941,"MFAH may keep painting once owned by Hitler’s art dealer, as judge rules against Jewish heirs",2019-04-30T00:00:00Z,news article,Event,Houston Chronicle,Keith P. Ellison,erroneous provenance (artwork),,
https://www.timesofisrael.com/spanish-museum-california-family-spar-in-court-over-disputed-nazi-looted-art/,"Spanish museum, California family spar in court over disputed Nazi-looted art",2018-12-05T00:00:00Z,news article,Event,The Times of Israel,Lilly Cassirer,erroneous provenance (artwork),,
https://www.lootedart.com/news.php?r=VFOPAF595941,"MFAH may keep painting once owned by Hitler’s art dealer, as judge rules against Jewish heirs",2022-05-04T00:00:00Z,news article,Event,Houston Chronicle,Keith P. Ellison,erroneous provenance (artwork),,
https://www.theaustralian.com.au/arts/visual-arts/max-emdens-heirs-to-revive-nazi-loot-claim-against-the-national-gallery-of-victoria/news-story/3d4e9ef7a132b21d744961d527ec1c8c?amp&nk=021e6102ced70fd7a82ea63654089521-1680155380,Max Emden’s heirs to revive Nazi loot claim against the National Gallery of Victoria,2022-09-20T00:00:00Z,news article,Event,The Australian,erroneous provenance (artwork),erroneous provenance (artwork),,
https://www.timesofisrael.com/spanish-museum-california-family-spar-in-court-over-disputed-nazi-looted-art/,"Spanish museum, California family spar in court over disputed Nazi-looted art",2018-12-05T00:00:00Z,news article,Event,The Times of Israel,Laurie Stein,erroneous provenance (artwork),,
https://www.timesofisrael.com/spanish-museum-california-family-spar-in-court-over-disputed-nazi-looted-art/,"Spanish museum, California family spar in court over disputed Nazi-looted art",2018-12-05T00:00:00Z,news article,Event,The Times of Israel,Stephen Hahn,erroneous provenance (artwork),,
https://www.lootedart.com/news.php?r=VFOPAF595941,"MFAH may keep painting once owned by Hitler’s art dealer, as judge rules against Jewish heirs",2019-04-30T00:00:00Z,news article,Event,Houston Chronicle,claim for restitution of an artwork,erroneous provenance (artwork),,
https://news.artnet.com/art-world/mfa-houston-bellotto-restitution-debate-2000062,Restitution Experts Blast Houston’s Museum of Fine Arts for Refusing to Return a Painting Once Purchased for Hitler’s Museum,2021-08-18T00:00:00Z,news article,Event,Artnet News,Führermuseum,erroneous provenance (artwork),,
https://news.artnet.com/art-world/mfa-houston-bellotto-restitution-debate-2000062,Restitution Experts Blast Houston’s Museum of Fine Arts for Refusing to Return a Painting Once Purchased for Hitler’s Museum,2021-08-18T00:00:00Z,news article,Event,Artnet News,restitution of Nazi-looted art,erroneous provenance (artwork),,
https://news.artnet.com/art-world/mfa-houston-bellotto-restitution-debate-2000062,Restitution Experts Blast Houston’s Museum of Fine Arts for Refusing to Return a Painting Once Purchased for Hitler’s Museum,2021-08-18T00:00:00Z,news article,Event,Artnet News,Bernardo Bellotto,erroneous provenance (artwork),,
https://news.artnet.com/art-world/mfa-houston-bellotto-restitution-debate-2000062,Restitution Experts Blast Houston’s Museum of Fine Arts for Refusing to Return a Painting Once Purchased for Hitler’s Museum,2021-08-18T00:00:00Z,news article,Event,Artnet News,Adolf Hitler,erroneous provenance (artwork),,
https://news.artnet.com/art-world/mfa-houston-bellotto-restitution-debate-2000062,Restitution Experts Blast Houston’s Museum of Fine Arts for Refusing to Return a Painting Once Purchased for Hitler’s Museum,2021-08-18T00:00:00Z,news article,Event,Artnet News,Nazi Germany,erroneous provenance (artwork),,
https://news.artnet.com/art-world/mfa-houston-bellotto-restitution-debate-2000062,Restitution Experts Blast Houston’s Museum of Fine Arts for Refusing to Return a Painting Once Purchased for Hitler’s Museum,2021-08-18T00:00:00Z,news article,Event,Artnet News,Munich Central Collecting Point,erroneous provenance (artwork),,
https://news.artnet.com/art-world/mfa-houston-bellotto-restitution-debate-2000062,Restitution Experts Blast Houston’s Museum of Fine Arts for Refusing to Return a Painting Once Purchased for Hitler’s Museum,2021-08-18T00:00:00Z,news article,Event,Artnet News,Gary Tinterow,erroneous provenance (artwork),,
